# delta = 1.000, g = 0.500, generator = white          
# ====================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    
# ====================================================================================

7.75000000     1.41150083     -0.00000031    0.00064304     0.00000000     0.00197829     
7.80000000     1.41150081     -0.00000028    0.00061637     0.00000000     0.00189630     
7.85000000     1.41150080     -0.00000026    0.00059080     0.00000000     0.00181770     
7.90000000     1.41150079     -0.00000024    0.00056629     0.00000000     0.00174237     
7.95000000     1.41150077     -0.00000022    0.00054280     0.00000000     0.00167015     
8.00000000     1.41150076     -0.00000020    0.00052029     0.00000000     0.00160093     
8.05000000     1.41150075     -0.00000018    0.00049871     0.00000000     0.00153458     
8.10000000     1.41150074     -0.00000017    0.00047802     0.00000000     0.00147097     
8.15000000     1.41150074     -0.00000016    0.00045820     0.00000000     0.00141000     
8.20000000     1.41150073     -0.00000014    0.00043919     0.00000000     0.00135156     
8.25000000     1.41150072     -0.00000013    0.00042097     0.00000000     0.00129554     
8.30000000     1.41150071     -0.00000012    0.00040351     0.00000000     0.00124185     
8.35000000     1.41150071     -0.00000011    0.00038678     0.00000000     0.00119038     
8.40000000     1.41150070     -0.00000010    0.00037074     0.00000000     0.00114104     
8.45000000     1.41150070     -0.00000009    0.00035536     0.00000000     0.00109374     
8.50000000     1.41150069     -0.00000009    0.00034062     0.00000000     0.00104841     
8.55000000     1.41150069     -0.00000008    0.00032649     0.00000000     0.00100495     
8.60000000     1.41150068     -0.00000007    0.00031295     0.00000000     0.00096330     
8.65000000     1.41150068     -0.00000007    0.00029997     0.00000000     0.00092337     
8.70000000     1.41150068     -0.00000006    0.00028753     0.00000000     0.00088510     
8.75000000     1.41150067     -0.00000006    0.00027561     0.00000000     0.00084841     
8.80000000     1.41150067     -0.00000005    0.00026418     0.00000000     0.00081325     
8.85000000     1.41150067     -0.00000005    0.00025322     0.00000000     0.00077954     
8.90000000     1.41150067     -0.00000004    0.00024272     0.00000000     0.00074723     
8.95000000     1.41150066     -0.00000004    0.00023265     0.00000000     0.00071625     
9.00000000     1.41150066     -0.00000004    0.00022300     0.00000000     0.00068657     
9.05000000     1.41150066     -0.00000003    0.00021376     0.00000000     0.00065811     
9.10000000     1.41150066     -0.00000003    0.00020489     0.00000000     0.00063083     
9.15000000     1.41150066     -0.00000003    0.00019639     0.00000000     0.00060468     
9.20000000     1.41150066     -0.00000003    0.00018825     0.00000000     0.00057962     
9.25000000     1.41150065     -0.00000002    0.00018044     0.00000000     0.00055559     
9.30000000     1.41150065     -0.00000002    0.00017296     0.00000000     0.00053256     
9.35000000     1.41150065     -0.00000002    0.00016579     0.00000000     0.00051049     
9.40000000     1.41150065     -0.00000002    0.00015891     0.00000000     0.00048933     
9.45000000     1.41150065     -0.00000002    0.00015232     0.00000000     0.00046904     
9.50000000     1.41150065     -0.00000002    0.00014600     0.00000000     0.00044960     
9.55000000     1.41150065     -0.00000001    0.00013995     0.00000000     0.00043096     
9.60000000     1.41150065     -0.00000001    0.00013415     0.00000000     0.00041310     
9.65000000     1.41150065     -0.00000001    0.00012858     0.00000000     0.00039598     
9.70000000     1.41150065     -0.00000001    0.00012325     0.00000000     0.00037956     
9.75000000     1.41150065     -0.00000001    0.00011814     0.00000000     0.00036383     
9.80000000     1.41150065     -0.00000001    0.00011324     0.00000000     0.00034875     
9.85000000     1.41150064     -0.00000001    0.00010854     0.00000000     0.00033429     
9.90000000     1.41150064     -0.00000001    0.00010404     0.00000000     0.00032043     
9.95000000     1.41150064     -0.00000001    0.00009973     0.00000000     0.00030715     
