# delta = 1.000, g = 0.500, generator = white          
# ====================================================================================
#    s              E            dE/ds        ||eta2B||      ||fod||       ||Gammaod||    
# ====================================================================================

1.27500000     1.42361693     -0.01715699    0.15394670     0.00000000     0.48514513     
1.28000000     1.42353143     -0.01701459    0.15330425     0.00000000     0.48313246     
1.28500000     1.42344664     -0.01687338    0.15266450     0.00000000     0.48112819     
1.29000000     1.42336255     -0.01673334    0.15202743     0.00000000     0.47913231     
1.29500000     1.42327916     -0.01659447    0.15139303     0.00000000     0.47714475     
1.30000000     1.42319647     -0.01645675    0.15076129     0.00000000     0.47516551     
1.30500000     1.42311446     -0.01632018    0.15013220     0.00000000     0.47319452     
1.31000000     1.42303313     -0.01618475    0.14950575     0.00000000     0.47123177     
1.31500000     1.42295247     -0.01605045    0.14888193     0.00000000     0.46927721     
1.32000000     1.42287249     -0.01591726    0.14826072     0.00000000     0.46733082     
1.32500000     1.42279316     -0.01578518    0.14764212     0.00000000     0.46539255     
1.33000000     1.42271450     -0.01565421    0.14702611     0.00000000     0.46346237     
1.33500000     1.42263649     -0.01552432    0.14641268     0.00000000     0.46154026     
1.34000000     1.42255913     -0.01539551    0.14580183     0.00000000     0.45962616     
1.34500000     1.42248240     -0.01526778    0.14519353     0.00000000     0.45772005     
1.35000000     1.42240632     -0.01514110    0.14458779     0.00000000     0.45582190     
1.35500000     1.42233087     -0.01501549    0.14398458     0.00000000     0.45393167     
1.36000000     1.42225604     -0.01489091    0.14338391     0.00000000     0.45204932     
1.36500000     1.42218183     -0.01476738    0.14278575     0.00000000     0.45017483     
1.37000000     1.42210824     -0.01464487    0.14219010     0.00000000     0.44830816     
1.37500000     1.42203526     -0.01452338    0.14159694     0.00000000     0.44644928     
1.38000000     1.42196288     -0.01440290    0.14100627     0.00000000     0.44459815     
1.38500000     1.42189111     -0.01428343    0.14041808     0.00000000     0.44275474     
1.39000000     1.42181993     -0.01416494    0.13983235     0.00000000     0.44091902     
1.39500000     1.42174934     -0.01404745    0.13924907     0.00000000     0.43909095     
1.40000000     1.42167933     -0.01393093    0.13866824     0.00000000     0.43727051     
1.40500000     1.42160991     -0.01381538    0.13808985     0.00000000     0.43545766     
1.41000000     1.42154106     -0.01370079    0.13751388     0.00000000     0.43365237     
1.41500000     1.42147279     -0.01358715    0.13694032     0.00000000     0.43185460     
1.42000000     1.42140508     -0.01347446    0.13636916     0.00000000     0.43006433     
1.42500000     1.42133793     -0.01336271    0.13580040     0.00000000     0.42828152     
1.43000000     1.42127134     -0.01325189    0.13523402     0.00000000     0.42650614     
1.43500000     1.42120530     -0.01314198    0.13467001     0.00000000     0.42473816     
1.44000000     1.42113981     -0.01303300    0.13410836     0.00000000     0.42297755     
1.44500000     1.42107486     -0.01292491    0.13354907     0.00000000     0.42122428     
1.45000000     1.42101045     -0.01281773    0.13299212     0.00000000     0.41947831     
1.45500000     1.42094657     -0.01271144    0.13243751     0.00000000     0.41773962     
1.46000000     1.42088323     -0.01260603    0.13188521     0.00000000     0.41600817     
1.46500000     1.42082041     -0.01250150    0.13133523     0.00000000     0.41428394     
1.47000000     1.42075811     -0.01239783    0.13078756     0.00000000     0.41256688     
1.47500000     1.42069632     -0.01229503    0.13024217     0.00000000     0.41085698     
1.48000000     1.42063505     -0.01219308    0.12969908     0.00000000     0.40915421     
1.48500000     1.42057429     -0.01209198    0.12915825     0.00000000     0.40745852     
1.49000000     1.42051403     -0.01199172    0.12861969     0.00000000     0.40576990     
1.49500000     1.42045427     -0.01189230    0.12808339     0.00000000     0.40408830     
1.50000000     1.42039501     -0.01179370    0.12754933     0.00000000     0.40241372     
1.50500000     1.42033623     -0.01169592    0.12701751     0.00000000     0.40074610     
1.51000000     1.42027795     -0.01159895    0.12648791     0.00000000     0.39908543     
1.51500000     1.42022015     -0.01150279    0.12596053     0.00000000     0.39743167     
1.52000000     1.42016282     -0.01140743    0.12543537     0.00000000     0.39578479     
1.52500000     1.42010598     -0.01131286    0.12491239     0.00000000     0.39414477     
1.53000000     1.42004960     -0.01121907    0.12439161     0.00000000     0.39251158     
1.53500000     1.41999369     -0.01112607    0.12387301     0.00000000     0.39088519     
1.54000000     1.41993824     -0.01103383    0.12335658     0.00000000     0.38926557     
1.54500000     1.41988326     -0.01094237    0.12284231     0.00000000     0.38765268     
1.55000000     1.41982873     -0.01085166    0.12233020     0.00000000     0.38604651     
1.55500000     1.41977465     -0.01076171    0.12182023     0.00000000     0.38444702     
1.56000000     1.41972102     -0.01067250    0.12131239     0.00000000     0.38285419     
1.56500000     1.41966784     -0.01058404    0.12080668     0.00000000     0.38126799     
1.57000000     1.41961509     -0.01049631    0.12030308     0.00000000     0.37968838     
1.57500000     1.41956278     -0.01040931    0.11980160     0.00000000     0.37811535     
1.58000000     1.41951091     -0.01032303    0.11930221     0.00000000     0.37654886     
1.58500000     1.41945947     -0.01023747    0.11880491     0.00000000     0.37498889     
1.59000000     1.41940845     -0.01015262    0.11830969     0.00000000     0.37343540     
1.59500000     1.41935785     -0.01006847    0.11781655     0.00000000     0.37188838     
1.60000000     1.41930768     -0.00998503    0.11732547     0.00000000     0.37034780     
1.60500000     1.41925792     -0.00990227    0.11683644     0.00000000     0.36881362     
1.61000000     1.41920857     -0.00982021    0.11634946     0.00000000     0.36728582     
1.61500000     1.41915964     -0.00973882    0.11586452     0.00000000     0.36576437     
1.62000000     1.41911110     -0.00965811    0.11538161     0.00000000     0.36424925     
1.62500000     1.41906297     -0.00957807    0.11490072     0.00000000     0.36274043     
1.63000000     1.41901524     -0.00949870    0.11442184     0.00000000     0.36123789     
1.63500000     1.41896791     -0.00941998    0.11394496     0.00000000     0.35974159     
1.64000000     1.41892096     -0.00934192    0.11347008     0.00000000     0.35825151     
1.64500000     1.41887441     -0.00926451    0.11299718     0.00000000     0.35676763     
1.65000000     1.41882824     -0.00918774    0.11252627     0.00000000     0.35528992     
1.65500000     1.41878245     -0.00911160    0.11205732     0.00000000     0.35381834     
1.66000000     1.41873705     -0.00903610    0.11159034     0.00000000     0.35235289     
1.66500000     1.41869202     -0.00896123    0.11112530     0.00000000     0.35089353     
1.67000000     1.41864736     -0.00888698    0.11066222     0.00000000     0.34944023     
1.67500000     1.41860307     -0.00881334    0.11020107     0.00000000     0.34799297     
1.68000000     1.41855915     -0.00874031    0.10974185     0.00000000     0.34655173     
1.68500000     1.41851559     -0.00866790    0.10928455     0.00000000     0.34511648     
1.69000000     1.41847240     -0.00859608    0.10882916     0.00000000     0.34368719     
1.69500000     1.41842956     -0.00852486    0.10837568     0.00000000     0.34226384     
1.70000000     1.41838708     -0.00845423    0.10792409     0.00000000     0.34084640     
1.70500000     1.41834495     -0.00838418    0.10747440     0.00000000     0.33943485     
1.71000000     1.41830316     -0.00831472    0.10702658     0.00000000     0.33802917     
1.71500000     1.41826173     -0.00824583    0.10658064     0.00000000     0.33662933     
1.72000000     1.41822064     -0.00817752    0.10613656     0.00000000     0.33523530     
1.72500000     1.41817988     -0.00810977    0.10569434     0.00000000     0.33384707     
1.73000000     1.41813947     -0.00804258    0.10525396     0.00000000     0.33246460     
1.73500000     1.41809939     -0.00797596    0.10481543     0.00000000     0.33108788     
1.74000000     1.41805964     -0.00790988    0.10437873     0.00000000     0.32971687     
1.74500000     1.41802023     -0.00784435    0.10394386     0.00000000     0.32835155     
1.75000000     1.41798113     -0.00777937    0.10351081     0.00000000     0.32699191     
1.75500000     1.41794237     -0.00771493    0.10307957     0.00000000     0.32563792     
1.76000000     1.41790392     -0.00765102    0.10265013     0.00000000     0.32428954     
1.76500000     1.41786579     -0.00758764    0.10222248     0.00000000     0.32294677     
1.77000000     1.41782798     -0.00752479    0.10179662     0.00000000     0.32160958     
1.77500000     1.41779048     -0.00746246    0.10137255     0.00000000     0.32027793     
1.78000000     1.41775329     -0.00740064    0.10095024     0.00000000     0.31895182     
1.78500000     1.41771641     -0.00733934    0.10052970     0.00000000     0.31763121     
1.79000000     1.41767984     -0.00727855    0.10011092     0.00000000     0.31631608     
1.79500000     1.41764356     -0.00721826    0.09969389     0.00000000     0.31500642     
